Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-27 00:00:00+01:00,30.546600341796875,30.64900016784668,30.525299072265625,30.546600341796875,0,0.0,0.0
2025-08-28 00:00:00+01:00,30.575000762939453,30.57509994506836,30.450000762939453,30.575000762939453,0,0.0,0.0
2025-08-29 00:00:00+01:00,30.492799758911133,30.618499755859375,30.472999572753906,30.492799758911133,0,0.0,0.0
2025-09-01 00:00:00+01:00,30.56049919128418,30.66699981689453,30.55929946899414,30.56049919128418,0,0.0,0.0
2025-09-02 00:00:00+01:00,30.62529945373535,30.79599952697754,30.59600067138672,30.62529945373535,0,0.0,0.0
2025-09-03 00:00:00+01:00,30.743999481201172,30.77199935913086,30.65690040588379,30.743999481201172,0,0.0,0.0
2025-09-04 00:00:00+01:00,30.722000122070312,30.722000122070312,30.613300323486328,30.722000122070312,0,0.0,0.0
2025-09-05 00:00:00+01:00,30.694000244140625,30.694000244140625,30.32200050354004,30.694000244140625,0,0.0,0.0
2025-09-08 00:00:00+01:00,30.479000091552734,30.5049991607666,30.332000732421875,30.479000091552734,0,0.0,0.0
2025-09-09 00:00:00+01:00,30.331100463867188,30.398000717163086,30.229799270629883,30.331100463867188,0,0.0,0.0
2025-09-10 00:00:00+01:00,30.351600646972656,30.398000717163086,30.180999755859375,30.351600646972656,0,0.0,0.0
2025-09-11 00:00:00+01:00,30.236799240112305,30.385000228881836,30.21649932861328,30.236799240112305,0,0.0,0.0
2025-09-12 00:00:00+01:00,30.290000915527344,30.365299224853516,30.19879913330078,30.290000915527344,0,0.0,0.0
2025-09-15 00:00:00+01:00,30.284900665283203,30.327499389648438,30.17329978942871,30.284900665283203,0,0.0,0.0
2025-09-16 00:00:00+01:00,30.19409942626953,30.201799392700195,30.042999267578125,30.19409942626953,0,0.0,0.0
2025-09-17 00:00:00+01:00,30.047199249267578,30.09600067138672,29.94230079650879,30.047199249267578,0,0.0,0.0
2025-09-18 00:00:00+01:00,30.08639907836914,30.19499969482422,30.041000366210938,30.08639907836914,0,0.0,0.0
2025-09-19 00:00:00+01:00,30.11050033569336,30.263999938964844,30.076499938964844,30.11050033569336,0,0.0,0.0
2025-09-22 00:00:00+01:00,30.215999603271484,30.32900047302246,30.197200775146484,30.215999603271484,0,0.0,0.0
2025-09-23 00:00:00+01:00,30.21769905090332,30.305999755859375,30.152999877929688,30.21769905090332,0,0.0,0.0
2025-09-24 00:00:00+01:00,30.27400016784668,30.378999710083008,30.26569938659668,30.27400016784668,0,0.0,0.0
2025-09-25 00:00:00+01:00,30.364099502563477,30.58300018310547,30.354999542236328,30.364099502563477,0,0.0,0.0
2025-09-26 00:00:00+01:00,30.561500549316406,30.593000411987305,30.4060001373291,30.561500549316406,0,0.0,0.0
2025-09-27 00:00:00+01:00,30.44099998474121,30.44099998474121,30.44099998474121,30.44099998474121,0,0.0,0.0
