Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-27 00:00:00+01:00,35.551700592041016,35.57284164428711,35.44301986694336,35.55237579345703,0,0.0,0.0
2025-08-28 00:00:00+01:00,35.617347717285156,35.63457489013672,35.49034881591797,35.611541748046875,0,0.0,0.0
2025-08-29 00:00:00+01:00,35.615020751953125,35.79456329345703,35.576812744140625,35.619102478027344,0,0.0,0.0
2025-09-01 00:00:00+01:00,35.7344970703125,35.963741302490234,35.7344970703125,35.7186279296875,0,0.0,0.0
2025-09-02 00:00:00+01:00,35.88422775268555,35.90266036987305,35.6628532409668,35.877811431884766,0,0.0,0.0
2025-09-03 00:00:00+01:00,35.766517639160156,35.8842887878418,35.67082977294922,35.793121337890625,0,0.0,0.0
2025-09-04 00:00:00+01:00,35.822811126708984,35.824363708496094,35.703556060791016,35.82489776611328,0,0.0,0.0
2025-09-05 00:00:00+01:00,35.778480529785156,35.78223419189453,35.5595703125,35.778480529785156,0,0.0,0.0
2025-09-08 00:00:00+01:00,35.680084228515625,35.750038146972656,35.62562942504883,35.69053268432617,0,0.0,0.0
2025-09-09 00:00:00+01:00,35.68943786621094,35.78046417236328,35.52863311767578,35.69624710083008,0,0.0,0.0
2025-09-10 00:00:00+01:00,35.51649856567383,35.564029693603516,35.35996627807617,35.50374984741211,0,0.0,0.0
2025-09-11 00:00:00+01:00,35.37950134277344,35.575931549072266,35.33811950683594,35.38288879394531,0,0.0,0.0
2025-09-12 00:00:00+01:00,35.53757858276367,35.57017135620117,35.42155456542969,35.541629791259766,0,0.0,0.0
2025-09-15 00:00:00+01:00,34.55099868774414,35.5681037902832,34.55099868774414,34.55099868774414,0,0.0,0.0
2025-09-16 00:00:00+01:00,35.52180480957031,35.67266845703125,35.379093170166016,35.52079772949219,0,0.0,0.0
2025-09-17 00:00:00+01:00,35.66861343383789,35.6883659362793,35.48478698730469,35.66898727416992,0,0.0,0.0
2025-09-18 00:00:00+01:00,35.57216262817383,35.61546325683594,35.45064163208008,35.5791015625,0,0.0,0.0
2025-09-19 00:00:00+01:00,35.49845504760742,35.565494537353516,35.437591552734375,35.49761962890625,0,0.0,0.0
2025-09-22 00:00:00+01:00,35.48899841308594,35.667564392089844,35.452232360839844,35.47019958496094,0,0.0,0.0
2025-09-23 00:00:00+01:00,35.656497955322266,35.74708557128906,35.599342346191406,35.65888977050781,0,0.0,0.0
2025-09-24 00:00:00+01:00,35.77387619018555,35.834495544433594,35.58055877685547,35.76563262939453,0,0.0,0.0
2025-09-25 00:00:00+01:00,35.65702819824219,35.78267288208008,35.60312271118164,35.66582489013672,0,0.0,0.0
2025-09-26 00:00:00+01:00,35.64699935913086,35.742000579833984,35.61199951171875,35.67100143432617,0,0.0,0.0
